Ticker,Sektor,Syariah,MktCap,Value_MA20,ROE,ROA,NPM,CAR,NPL,EPS_5Y,DPS_5Y,FCF_5Y,PR_5Y,DY_5Y,ICR,DebtEBITDA,Median_PER_3Y,Median_PBV_3Y
ITMG,Energy,ya,30.112.501.250.000,44567187250.0,10.01,7.94,10.15,,,"[null, 1.1547599945565414, 0.44391731140030255, 0.33556310162955555, 0.17126213484251623]","[1385.0, 7168.0, 9076.0, 2975.0, 2983.0]","[null, 1281076000.0, 140326000.0, 362630000.0, 165747000.0]","[null, 6207.3505, 20445.2491, 8865.6947, 17417.7439]","[null, null, null, 0.1317, 0.1419]",32.81,,9.290928206420297,12570.494346641131
LSIP,Consumer Non-Cyclicals,ya,11.764.437.839.625,19585423500.0,13.49,12.15,34.25,,,"[null, 162.550692807859, 127.51821629074213, 269.55289658060855, 277.10881860270655]","[20.0, 51.0, 53.0, 39.0, 65.0]","[null, 783483000000.0, 1042545000000.0, 1189084000000.0, 2582421000000.0]","[null, 0.3137, 0.4156, 0.1447, 0.2346]","[null, null, null, 0.0422, 0.0544]",1937.69,,10.431729504905098,2.019299212056525
MAHA,Energy,ya,2.516.566.000.000,967632165.0,12.75,8.09,8.3,,,"[null, 20.112592439728417, 20.62844685124449, 18.98703989485343, 19.259504635817116]","[null, null, null, 12.0, 12.0]","[null, 358230664399.0, 62737130000.0, 241361124000.0, 720029795000.0]","[null, null, null, 0.632, 0.6231]","[null, null, null, 0.0754, 0.0698]",8.6,,9.290928206420297,12570.494346641131
MAIN,Consumer Non-Cyclicals,ya,1.914.131.250.000,2181308175.0,13.67,6.9,3.1,,,"[null, 8.109773531293357, 29.267495946532108, 216.98775249796628, 170.54089646152963]","[null, null, null, null, 65.0]","[null, -7622917000.0, 358596011000.0, 743253237000.0, 331358487000.0]","[null, null, null, null, 0.3811]","[null, null, null, null, 0.0751]",6.08,,10.431729504905098,2.019299212056525
MAPI,Consumer Cyclicals,ya,20.169.000.000.000,71106782750.0,12.96,6.8,5.18,,,"[null, 111.70472332097037, 116.03480037713246, 113.89801414295631, 136.87419823758796]","[null, null, 8.0, 8.0, 10.0]","[null, 3183432000000.0, -77400000000.0, 3762244000000.0, 4015098000000.0]","[null, null, 0.0689, 0.0702, 0.0731]","[null, null, null, 0.0057, 0.0086]",7.57,,9.975013185775808,2.217587767517111
MDLA,Healthcare,ya,3.026.770.200.000,1258386612.6618958,12.62,5.96,2.63,,,"[null, 22.17938395952984, 21.82935988995795, 24.622729535265016, 27.993427449497158]","[null, null, null, null, 9.8]","[null, 234708000000.0, -242253000000.0, 144867000000.0, 302326000000.0]","[null, null, null, null, 0.3501]","[null, null, null, null, 0.0395]",43.62,,12.68090971743625,1.7629755962019373
MEGA,Financials,tidak,25.687.967.940.050,295673525.0,13.42,2.39,28.36,18.0,2.5,"[null, 174.3445355026733, 151.0292844113413, 113.20101407111676, 144.87666289118079]","[86.4511, 201.04034, 120.809, 104.6519, 44.8176]","[null, 16288064000000.0, -10485706000000.0, 15273926000000.0, 866950000000.0]","[null, 1.1531, 0.7999, 0.9245, 0.3094]","[null, null, null, 0.0538, 0.0283]",,,6.918097189401239,0.9911635365807598
MTDL,Technology,ya,6.936.439.790.525,1596141575.0,12.89,6.2,3.0,,,"[null, 47.283657020711495, 53.0074218336394, 60.25999469799528, 66.30281439596999]","[7.4, 10.5, 14.5, 21.0, 24.0]","[null, 95577000000.0, -111247000000.0, 150778000000.0, -106333000000.0]","[null, 0.2221, 0.2735, 0.3485, 0.362]","[null, null, null, 0.0353, 0.0407]",20.86,,8.4983944914197,1.6911037490412628
NISP,Financials,tidak,30.098.403.242.400,5732819075.0,11.53,1.64,24.07,18.0,2.5,"[null, 154.49034883931887, 188.47307415949868, 230.58180278648257, 229.9502330920468]","[null, 22.0, 57.99737, 72.0, 106.0]","[null, -12404331000000.0, 393198000000.0, 36559629000000.0, 29163804000000.0]","[null, 0.1424, 0.3077, 0.3123, 0.461]","[null, null, null, 0.0615, 0.08]",,,6.918097189401239,0.9911635365807598
NOBU,Financials,tidak,3.886.921.216.500,1328556915.0,11.55,1.17,16.27,18.0,2.5,"[null, 13.743358361508497, 19.260250218322195, 44.04291476766356, 64.19994417220717]","[null, null, null, null, null]","[null, -322699000000.0, 1271033000000.0, 1694588000000.0, 1079408000000.0]","[null, null, null, null, null]","[null, null, null, null, null]",,,6.918097189401239,0.9911635365807598
NRCA,Infrastructures,ya,1.535.198.881.560,3191000290.0,12.84,6.04,4.86,,,"[null, 35.321294858849846, 48.67408817564646, 63.4309209568972, 63.44377873093422]","[15.0, 15.0, 42.0, 29.0, 22.0]","[null, -9292664252.0, 148300391147.0, 54319128994.0, 8659935812.0]","[null, 0.4247, 0.8629, 0.4572, 0.3468]","[null, null, null, 0.0881, 0.0144]",10.39,,9.02931449602944,1.6837602785556607
OMED,Healthcare,ya,7.792.948.800.000,6915448690.0,13.33,11.47,17.78,,,"[null, 10.581332487059631, 9.601963894419187, 11.916146738306114, 13.60102739480662]","[null, null, 3.17, 2.88, 3.57]","[null, 17246703655.0, -22087381211.0, 260177054627.0, 279190356137.0]","[null, null, 0.3301, 0.2417, 0.2625]","[null, null, null, 0.0163, 0.0173]",27.48,,12.68090971743625,1.7629755962019373
PBID,Basic Materials,ya,3.937.500.000.000,1115528950.9233093,13.6,11.51,7.72,,,"[null, 46.986165888166056, 49.901746398928196, 64.57522458256211, 53.33128403968588]","[25.0, 27.5, 25.0, 40.0, 55.0]","[null, 112653762000.0, 433766514000.0, 448724923000.0, 316868732000.0]","[null, 0.5853, 0.501, 0.6194, 1.0313]","[null, null, null, 0.0948, 0.1251]",66.01,,6.62553339007153,1.7812173699404212
POWR,Infrastructures,ya,11.824.059.660.000,4056683128.9608765,10.08,6.05,13.02,,,"[null, 0.00456429709604286, 0.004804361408944534, 0.004914423174217068, 0.004520342915949824]","[57.55883, 65.00183, 71.156, 72.158463, 69.78584]","[null, 107445223.0, 124725293.0, 102335492.0, 91905221.0]","[null, 14241.367, 14810.7093, 14682.9975, 15438.1739]","[null, null, null, 0.1225, 0.1066]",5.03,,9.02931449602944,1.6837602785556607
PTBA,Energy,ya,33.064.292.047.500,43883820400.0,12.95,6.67,6.87,,,"[null, 1091.4705643215432, 530.2819662514302, 443.24836301359693, 254.46118594872553]","[74.69438, 688.515, 1094.05, 397.712, 332.437]","[null, 11622625000000.0, 2095150000000.0, 3817304000000.0, 2755461000000.0]","[null, 0.6308, 2.0631, 0.8973, 1.3064]","[null, null, null, 0.163, 0.1439]",17.95,,9.290928206420297,12570.494346641131
RAJA,Energy,ya,17.500.121.550.000,102320996200.0,10.64,5.7,10.22,,,"[null, 0.002106725864520506, 0.006531078671546155, 0.006044797750673662, 0.006933542286844177]","[5.16, 6.98, 15.87, 38.0, 60.0]","[null, -10115515.0, -17764127.0, 36630649.0, 6862041.0]","[null, 3313.198, 2429.9202, 6286.3973, 8653.5854]","[null, null, null, 0.0144, 0.0099]",5.94,,9.290928206420297,12570.494346641131
RMKE,Energy,ya,14.087.500.000.000,64709044950.0,12.35,8.51,10.91,,,"[null, 88.90816195862857, 69.22414938034285, 65.32435802971429, 55.26540557897143]","[null, null, 7.0, 7.0, 3.5]","[null, 238620819753.0, -61403121697.0, 270713383014.0, 976056612.0]","[null, null, 0.1011, 0.1072, 0.0633]","[null, null, null, 0.0142, 0.0006]",9.96,,9.290928206420297,12570.494346641131
ROTI,Consumer Non-Cyclicals,ya,3.990.285.332.760,897682425.0,12.64,7.31,6.88,,,"[null, 76.80944123982256, 59.25193807556149, 64.44185270425842, 44.65257618146969]","[48.49, 60.2, 106.55, 87.67, 79.44]","[null, 540653751103.0, 490034723242.0, 480191155436.0, 339791215243.0]","[null, 0.7838, 1.7983, 1.3605, 1.7791]","[null, null, null, 0.1095, 0.1117]",6.46,,10.431729504905098,2.019299212056525
SCMA,Consumer Cyclicals,tidak,18.492.642.376.250,7102194380.0,10.15,7.89,11.19,,,"[null, 13.327526266334836, 5.269040822451663, 9.367080503899333, 12.141098110489432]","[null, 2.5, 6.5, 10.0, 27.0]","[null, -835374308000.0, 986555559000.0, 778503231000.0, 367106377000.0]","[null, 0.1876, 1.2336, 1.0676, 2.2239]","[null, null, null, 0.0672, 0.0799]",81.45,,9.975013185775808,2.217587767517111
SILO,Healthcare,ya,32.515.312.500.000,978169300.0,11.21,7.67,8.66,,,"[null, 53.62808848634739, 93.66284579578443, 84.55362235352042, 85.67181360883387]","[17.375, 19.3, 19.67, 20.0, null]","[null, 505036000000.0, 670608000000.0, 692816000000.0, 669144000000.0]","[null, 0.3599, 0.21, 0.2365, null]","[null, null, null, 0.0062, null]",13.59,,12.68090971743625,1.7629755962019373
